ID_NLS,TIPO,RIC,PR,COMUNE,INDIR_ORIG,ZIP,ISTAT,DENOM_IMPRES,INSEGNA,INIZIO_ATT,ANNO_RICONOSCIMENTO,CAT_MERC,geo_y,geo_x
7227,Negozio storico,Negozio storico,MI,MILANO,"CORSO VENEZIA, 37",20121,15146,LOFFREDO GRAFICHE COMMERCIALE - S.R.L.,CARTOLERIA VENEZIA,1936,2015,Cartoleria e libreria,45.470274,9.2005114
7228,Locale storico,Storica attività,MI,MILANO,"CORSO VENEZIA, 31",20121,15146,AL GIRARROSTO DI MILANO S.R.L.,RISTORANTE AL GIRARROSTO DA CESARINA,1949,2015,Ristorazione,45.469639,9.199864
7229,Negozio storico,Storica attività,MI,MILANO,"VIA GIUSEPPE MAZZINI, 8",20123,15146,FUGAZZI MARIO S.N.C. DI MARIO E ANTONIO FUGAZZI,GIOIELLERIA MARIO FUGAZZI,1914,2015,Preziosi,45.4630398,9.188385
7231,Locale storico,Locale storico,MI,MILANO,"VIA AMEDEI, 1",20123,15146,ACP S.R.L.,ALLA COLLINA PISTOIESE,1938,2015,Ristorazione,45.4603296,9.1864446
7232,Locale storico,Storica attività,MI,MILANO,"VIA DOGANA, 3",20123,15146,CHIOVETTA DAVIDE,BAR MERCURIO,1927,2015,Bar e tabaccheria,45.4632275,9.1888059
7233,Negozio storico,Storica attività,MI,MILANO,"Corso Garibaldi, 89",20121,15146,Fumagalli Adolfo,MODA TORINESE - FUMAGALLI,1933,2012,Abbigliamento e accessori,45.4767367,9.1840868
7234,Negozio storico,Storica attività,MI,MILANO,"Via Giovanni Battista Niccolini, 2",20154,15146,Sala del Cane di Paro Viviana,SALA DEL CANE,1958,2011,Sport e tempo libero,45.4793789,9.1776141
7235,Locale storico,Storica attività,MI,MILANO,"VIA GIUSTI GIUSEPPE, 14",20154,15146,TIAN JUN,TRATTORIA LA VENETA,1938,2011,Ristorazione,45.4802262,9.177117
7237,Negozio storico,Storica attività,MI,MILANO,"Corso Buenos Aires, 53",20124,15146,La Stilografica S.r.l.,LA STILOGRAFICA - PENNE TIMBRI E TARGHE,1926,2011,Cartoleria e libreria,45.4819375,9.2123324
7278,Locale storico,Storica attività,MI,MILANO,"Via Tommaso Marino, 7",20121,15146,Auripa S.a.s. di Bonomo Paolo & C.,RISTORANTE PAPÀ FRANCESCO,1946,2012,Ristorazione,45.4663829,9.1902739
7280,Negozio storico,Storica attività,MI,MILANO,"Via Fabio Filzi, 41",20124,15146,Parolini Mariangela,CARTOLERIA PAROLINI,1949,2012,Cartoleria e libreria,45.4877682,9.202765
7301,Negozio storico,Storica attività,MI,MILANO,"viale Brenta, 7",20139,15146,OTTICA BUSETTI S.A.S. DI BUSETTI LAURA,OTTICO OPTOMETRISTA BUSETTI,1959,2013,Ottica e fotografia,45.4413439,9.2152821
7310,Locale storico,Storica attività,MI,MILANO,"VIA FOSCOLO UGO, 3",20121,15146,AUTOGRILL ITALIA S.P.A.,MOTTA,1928,2013,Bar e tabaccheria,45.4653475,9.1906704
7311,Locale storico,Storica attività,MI,MILANO,"corso Genova, 1",20123,15146,PASTICCERIA CUCCHI S.R.L.,PASTICCERIA CUCCHI,1934,2013,Ristorazione,45.4583525,9.177417
7312,Locale storico,Storica attività,MI,MILANO,"via Ajaccio, 13",20133,15146,PASTICCERIA MIGLIAVACCA S.N.C.,PASTICCERIA MIGLIAVACCA ALBERTO,1958,2013,Ristorazione,45.4704274,9.2349123
7313,Locale storico,Storica attività,MI,MILANO,"VIA SANTA CROCE, 2",20122,15146,HU YONG GUI MATTEO,CAFFÈ E TABACCHI MOLINO DELLE ARMI,1936,2013,Bar e tabaccheria,45.4565889,9.1834425
7314,Locale storico,Storica attività,MI,MILANO,"via Thaon di Revel, 10",20159,15146,AL TRONCO S.A.S. DI ZINI ALFREDO & C,RISTORANTE AL TRONCO,1933,2013,Ristorazione,45.4921113,9.1888796
7315,Negozio storico,Storica attività,MI,MILANO,"viale Caldara Emilio, 20",20122,15146,FOTOMATERIALE S.A.S. DI SOLAROLO GIOVANNI & C.,FOTOMATERIALE,1960,2013,Ottica e fotografia,45.4544781,9.2033857
7346,Negozio storico,Storica attività,MI,MILANO,"viale Affori, 19",20161,15146,ARREDAMENTI ALLA VILLA LITTA DI GATTI GIUSEPPE,"G.A. GATTI - ARREDAMENTI ""ALLA VILLA LITTA""",1964,2014,Casa e arredamento,45.5168322,9.1690759
7347,Negozio storico,Storica attività,MI,MILANO,"piazza Luigi di Savoia, 2",20124,15146,GIGLIO ROSSO S.A.S. DI ENRICO FONTANELLI & C.,RISTORANTE GIGLIO ROSSO,1953,2014,Ristorazione,45.4844949,9.2055383
7353,Negozio storico,Storica attività,MI,MILANO,"viale Monza, 61",20125,15146,CARTOLERIA GAMBARDELLA S.R.L.,CARTOLERIA GAMBARDELLA,1951,2014,Cartoleria e libreria,45.4927143,9.2184838
7361,Negozio storico,Storica attività,MI,MILANO,"PIAZZALE LUIGI EMANUELE CORVETTO, 1",20139,15146,STADLER S.R.L.,STADLER GIOIELLERIA,1952,2014,Preziosi,45.4404606,9.2237947
7362,Negozio storico,Storica attività,MI,MILANO,"VIA FRANCESCO CHERUBINI, 3",20145,15146,BUZZO GIOIELLI DI BUZZO CINZIA MARIA,BUZZO GIOIELLI,1961,2014,Preziosi,45.4670803,9.1591583
7364,Negozio storico,Storica attività,MI,MILANO,"VIA ALFONSO LAMARMORA, 31",20122,15146,"BELLONI & C. S.N.C. DI ATTILIO, FRANCESCO E LUISA BELLONI",GIOIELLERIA BELLONI,1955,2014,Preziosi,45.4574164,9.2037531
7365,Negozio storico,Storica attività,MI,MILANO,"VIA ROMBON, 33",20134,15146,BRUNETTI FRATELLI DI BRUNETTI PAOLO E C. - S.A.S.,GIOIELLERIA BRUNETTI,1925,2014,Preziosi,45.4864372,9.241198
7366,Negozio storico,Storica attività,MI,MILANO,"VIALE TUNISIA, 25",20124,15146,MOSELE S.R.L.,MOSELE GIOIELLERIA,1957,2014,Preziosi,45.4783759,9.2028171
7412,Negozio storico,Storica attività,MI,MILANO,"VIA PADOVA, 157",20127,15146,LANFRANCHI ANGELO CARLO,ANGELO LANFRANCHI DAL 1961,1961,2015,Auto e Moto,45.5003888,9.2353928
7413,Negozio storico,Storica attività,MI,MILANO,"RIPA DI PORTA TICINESE, 27",20143,15146,OTTICA DEGANI DI VALLE' ALVARO E DEGANI ALBA S.N.C.,OTTICA DEGANI,1946,2015,Ottica e fotografia,45.4516447,9.1751015
7426,Locale storico,Storica attività,MI,MILANO,"VIA DEI MISSAGLIA, 21",20142,15146,PHIL BAR S.N.C. DI MEAZZA PATRIZIA E ANGELILLO FRANCESCO,ANTICA OSTERIA DE IL RONCHETTINO,1929,2015,Ristorazione,45.4252888,9.1796805
7428,Negozio storico,Storica attività,MI,MILANO,"VIA GIUSEPPE RIPAMONTI, 7/A",20136,15146,BRAMBILLA UNIVERSAL SHOES SRL,BRAMBILLA CALZATURE,1936,2015,Abbigliamento e accessori,45.4502916,9.1970814
7429,Locale storico,Storica attività,MI,MILANO,"VIA ENRICO STENDHAL, 39",20144,15146,F.LLI BRUNELLI SNC DI CRISTINA E LORENZO BRUNELLI,BRUNELLI LATTERIA,1946,2015,Bar e tabaccheria,45.4543095,9.1585338
7430,Negozio storico,Storica attività,MI,MILANO,"VIA GIOVANNI SCHIAPARELLI, 4",20125,15146,FARMACIA PONTE SEVESO DI BENZI GIORGIO,FARMACIA PONTE SEVESO,1888,2015,Salute e benessere,45.4895744,9.205393
7431,Negozio storico,Storica attività,MI,MILANO,"VIA PIACENZA, 24",20135,15146,FARMACIA ROMA DEI DOTTORI ANTONIOLI LUCA ENRICO MICHELE E FOX STEFANO FELICE & C. S.N.C.,FARMACIA ROMA,1932,2015,Salute e benessere,45.4492239,9.20553
7433,Negozio storico,Negozio storico,MI,MILANO,"VIA TORINO, 57",20123,15146,FOTO VENETA OTTICA DI BISELLO GIORGIO,FOTO VENETA OTTICA DI BISELLO,1931,2015,Ottica e fotografia,45.4606195,9.1833664
7435,Negozio storico,Storica attività,MI,MILANO,"VIA MESSINA, 1",20154,15146,D'AMBROSIO NICOLA,L'ORTOLANO DI PAOLO SARPI,1934,2015,Alimentari e specialità alimentari,45.4815911,9.1757269
7436,Negozio storico,Storica attività,MI,MILANO,"VIA RODOLFO CARABELLI, 1",20137,15146,PANETTERIA ANFOSSI SNC DI GIORGIO ANFOSSI E C.,PASTICCERIA ANFOSSI,1961,2015,"Gelaterie, pasticcerie e torrefazioni",45.4503749,9.2212339
7443,Negozio storico,Storica attività,MI,MILANO,"VIA LAZZARO PAPI, 12",20135,15146,SEGANTI ARREDA S.A.S. DI SEGANTI GIANCARLO,SEGANTI ARREDA,1964,2015,Casa e arredamento,45.4507117,9.2074637
7467,Negozio storico,Storica attività,MI,MILANO,"PIAZZA MENTANA, 7",20123,15146,FERRAMENTA MEREGHETTI S.R.L.,FERRAMENTA MEREGHETTI,1930,2015,Attrezzature,45.4622186,9.1813315
7473,Negozio storico,Locale storico,MI,MILANO,"PIAZZALE DI PORTA LODOVICA, 2",20136,15146,GUD S.R.L.,GATTULLO,1961,2015,"Gelaterie, pasticcerie e torrefazioni",45.4521175,9.1858537
7497,Locale storico,Storica attività,MI,MILANO,"VIA SOLFERINO, 11",20121,15146,RISTORANTE RIGOLO DI SIMONCINI RENATO E C. S.A.S.,RISTORANTE RIGOLO,1958,2015,Ristorazione,45.4749101,9.186904
7508,Negozio storico,Storica attività,MI,MILANO,"VIA FONTANA, 3",20122,15146,CITTERIO LIVIO S.A.S. DI CITTERIO OSVALDO & C.,CITTERIO,1959,2015,Preziosi,45.4620008,9.2038281
7534,Negozio storico,Negozio storico,MI,MILANO,"CORSO VITTORIO EMANUELE II, 15",20122,15146,GOBBI 1842 S.R.L.,GOBBI,1897,2015,Preziosi,45.465684,9.196062
7536,Negozio storico,Storica attività,MI,MILANO,"VIALE UMBRIA, 82",20135,15146,MAGNANI GIOIELLI S.N.C. DI MAGNANI ANNA,MAGNANI GIOIELLI,1963,2015,Preziosi,45.4566274,9.2172815
7537,Negozio storico,Storica attività,MI,MILANO,"CORSO LODI, 12",20135,15146,CORSI CARLO,CORSI CARLO,1949,2015,Preziosi,45.4503001,9.2049103
7539,Negozio storico,Storica attività,MI,MILANO,"VIA FRANCESCO ANZANI, 2",20135,15146,EREDI LABADINI DI GINEX LAURA ARGENE & C. S.A.S.,LABADINI,1909,2015,Preziosi,45.4619365,9.2133256
7540,Negozio storico,Storica attività,MI,MILANO,"VIA LUPETTA, 5",20123,15146,OREFICERIA LUPETTA S.R.L.,OREFICERIA LUPETTA,1934,2015,Preziosi,45.4618446,9.1865742
7541,Negozio storico,Negozio storico,MI,MILANO,"VIA SOLFERINO, 3",20121,15146,MERU' DI BARTOLOMEO E GIOVANNA MEREU' S.N.C.,MERU' GIOIELLI,1959,2015,Preziosi,45.4733394,9.1872155
7543,Negozio storico,Storica attività,MI,MILANO,"VIA VINCENZO MONTI, 34",20123,15146,PICCOLO IVANO,PICCOLO OROLOGERIA OREFICERIA DAL...1918,1918,2015,Preziosi,45.4695294,9.171229
7565,Negozio storico,Storica attività,MI,MILANO,"CORSO SAN GOTTARDO, 2",20136,15146,OTTICA ALEARDI S.A.S. DI ANTONELLA ALEARDI E C.,OTTICA ALEARDI,1919,2016,Ottica e fotografia,45.451773,9.1799659
7572,Locale storico,Locale storico,MI,MILANO,"VIA ALBERTO NOTA, 47",20126,15146,PREMIATA TRATTORIA ARLATI DAL 1936 SRL,PREMIATA TRATTORIA ARLATI,1936,2017,Ristorazione,45.5179904,9.2086431
7575,Locale storico,Storica attività,MI,MILANO,"PIAZZALE CADORNA LUIGI, 9",20123,15146,CORIGLIANO VINCENZO,PASTICCERIA VILLA CAFFETTERIA,1896,2017,Bar e tabaccheria,45.4676762,9.176425
7576,Negozio storico,Storica attività,MI,MILANO,"VIA PONTE SEVESO, 17",20125,15146,BEGA ANTONIO,PESCHERIA MODERNA,1958,2017,Alimentari e specialità alimentari,45.4888117,9.2038888
7577,Negozio storico,Storica attività,MI,MILANO,"VIA LUIGI ORNATO, 45",20162,15146,BERETTA LUCILLA,CALZATURE BERETTA,1927,2017,Abbigliamento e accessori,45.5182639,9.1918349
